path,specification,clause,tags,testnumber,description
/courts/default/2024-09/20240409_Judicial_Council_Sixth_DCA_Initial_Study.pdf,ISO 14289-1:2014,7.18.1,annotation,1,"An annotation, excluding annotations of subtype Widget, PrinterMark or Link, shall be nested within an Annot tag"
/courts/default/2024-09/20240409_Judicial_Council_Sixth_DCA_Initial_Study.pdf,ISO 14289-1:2014,7.21.8,font,1,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
/courts/default/2024-08/2014-12e-update.pdf,ISO 14289-1:2014,7.1,structure,5,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type"
/courts/default/2024-08/tribal-reasonsnotbacairsf2010.pdf,ISO 14289-1:2014,7.1,structure,5,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type"
/courts/default/2024-08/tribal-eforum2014jan.pdf,ISO 14289-1:2014,7.1,structure,5,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type"
/courts/default/2024-08/uifsafinally_handout1.pdf,ISO 14289-1:2014,7.21.4.2,font,1,"If the FontDescriptor dictionary of an embedded Type 1 font contains a CharSet string, then it shall list the character names of all glyphs present in the font program, regardless of whether a glyph in the font is referenced or used by the PDF or not"
/courts/default/2024-08/culture_handout7.pdf,ISO 14289-1:2014,7.18.5,annotation,1,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
/courts/default/2024-08/culture_handout7.pdf,ISO 14289-1:2014,7.21.5,font,1,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
/courts/default/2024-08/aocbrief_juvenilejusticeresearch_efile_021612.pdf,ISO 14289-1:2014,7.21.4.2,font,1,"If the FontDescriptor dictionary of an embedded Type 1 font contains a CharSet string, then it shall list the character names of all glyphs present in the font program, regardless of whether a glyph in the font is referenced or used by the PDF or not"
/courts/default/2024-08/e-forum-newsletter-2022-06.pdf,ISO 14289-1:2014,7.18.5,"structure,annotation,alt-text",2,"Links shall contain an alternate description via their Contents key as described in ISO 32000-1:2008, 14.9.3"
/courts/default/2024-08/e-forum-newsletter-2022-06.pdf,ISO 14289-1:2014,7.18.1,"annotation,alt-text",2,"An annotation (except Widget annotations or hidden annotations, or those having rectangle outside the crop-box) shall have either Contents key or an Alt entry in the enclosing structure element"
/courts/default/2024-08/e-forum-newsletter-2022-06.pdf,ISO 14289-1:2014,7.18.5,annotation,1,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
/courts/default/2024-08/queertionary2.0.pdf,ISO 14289-1:2014,7.21.4.2,font,1,"If the FontDescriptor dictionary of an embedded Type 1 font contains a CharSet string, then it shall list the character names of all glyphs present in the font program, regardless of whether a glyph in the font is referenced or used by the PDF or not"
/courts/default/2024-08/eforum_2016_08.pdf,ISO 14289-1:2014,7.18.5,annotation,1,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
/courts/default/2024-08/tribalforume-update2012oct.pdf,ISO 14289-1:2014,7.18.1,annotation,1,"An annotation, excluding annotations of subtype Widget, PrinterMark or Link, shall be nested within an Annot tag"
/courts/default/2024-08/icwa-inquiry-california-legal-update-materials-2020.pdf,ISO 14289-1:2014,7.18.5,annotation,1,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
/courts/default/2024-08/icwa-inquiry-california-legal-update-materials-2020.pdf,ISO 14289-1:2014,7.21.7,font,2,"The Unicode values specified in the ToUnicode CMap shall all be greater than zero (0), but not equal to either U+FEFF or U+FFFE"
/courts/default/2024-08/icwa-inquiry-california-legal-update-materials-2020.pdf,ISO 14289-1:2014,7.21.7,font,1,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
/courts/default/2024-08/icwaprobatecourtrequirements.pdf,ISO 14289-1:2014,7.2,"structure,list",17,LI element should be contained in L element
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.1,artifact,1,Content marked as Artifact should not present inside tagged content
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.2,"structure,table",10,TR element may contain only TH and TD elements
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.18.4,annotation,1,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340"
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.2,"structure,table",42,Table rows shall have the same number of columns (taking into account column spans)
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.1,artifact,2,Tagged content should not present inside content marked as Artifact
/courts/default/2024-08/pdr-rfa-attachment-b.pdf,ISO 14289-1:2014,7.18.1,"annotation,alt-text",3,A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)
/courts/default/2024-08/ru_feed.pdf,ISO 14289-1:2014,7.1,metadata,9,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
/courts/default/2024-08/ru_feed.pdf,ISO 14289-1:2014,7.21.4.2,font,1,"If the FontDescriptor dictionary of an embedded Type 1 font contains a CharSet string, then it shall list the character names of all glyphs present in the font program, regardless of whether a glyph in the font is referenced or used by the PDF or not"
/courts/default/2024-08/e-forum-newsletter-2018-07.pdf,ISO 14289-1:2014,7.5,"structure,table",1,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
/courts/default/2024-08/e-forum-newsletter-2018-07.pdf,ISO 14289-1:2014,7.2,"structure,table",14,"If Table element contains THead kid, Table element should contain one or more TBody kids"
/courts/default/2024-08/031209tem5.pdf,ISO 14289-1:2014,7.21.3.2,font,1,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117"
/courts/default/2024-08/031209tem5.pdf,ISO 14289-1:2014,5,metadata,1,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema
/courts/default/2024-08/031209tem5.pdf,ISO 14289-1:2014,7.1,metadata,9,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
/courts/default/2024-08/pdr-rfa-attachment-c.pdf,ISO 14289-1:2014,7.18.4,annotation,1,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340"
